;Puesto Mundial;Puesto Continental;País;Región;Puntuación 2018
0;1;1;Suiza Suiza;Europa;87.42
1;2;2; Francia;Europa;83.95
2;3;3;Dinamarca Dinamarca;Europa;81.60
3;4;4;Malta Malta;Europa;80.90
4;5;5;Suecia Suecia;Europa;80.51
5;6;6;Reino Unido Reino Unido;Europa;79.89
6;7;7;Luxemburgo Luxemburgo;Europa;79.12
7;8;8;Austria Austria;Europa;78.97
8;9;9; Irlanda;Europa;78.77
9;10;10;Finlandia Finlandia;Europa;78.64
10;11;11;Islandia Islandia;Europa;78.57
11;12;12;España España;Europa;78.57
12;13;13;Alemania Alemania;Europa;78.37
13;14;14;Noruega Noruega;Europa;77.49
14;15;15;Bélgica Bélgica;Europa;77.38
15;16;16;Italia Italia;Europa;76.96
16;17;1;Nueva Zelanda Nueva Zelanda;Oceanía;75.96
17;18;17;Países Bajos Países Bajos;Europa;75.46
18;19;1;Israel Israel;Asia;75.01
19;20;2;Japón Japón;Asia;74.69
20;21;2; Australia;Oceanía;74.12
21;22;18;Grecia Grecia;Europa;73.60
22;23;3; República de China;Asia;72.84
23;24;19;Chipre Chipre;Europa;72.60
24;25;1;Canadá Canadá;América;72.18
25;26;20; Portugal;Europa;71.91
26;27;2; Estados Unidos;América;71.19
27;28;21;Eslovaquia Eslovaquia;Europa;70.60
28;29;22;Lituania Lituania;Europa;69.33
29;30;3;Costa Rica Costa Rica;América;67.85
30;31;23;Bulgaria Bulgaria;Europa;67.85
31;32;4;Catar Catar;Asia;67.80
32;33;24;República Checa República Checa;Europa;67.68
33;34;25;Eslovenia Eslovenia;Europa;67.57
34;35;4;Trinidad y Tobago Trinidad y Tobago;América;67.36
35;36;5;San Vicente y las Granadinas San Vicente y las Granadinas;América;66.48
36;37;26;Letonia Letonia;Europa;66.12
37;38;5; Turkmenistán;Asia;66.10
38;39;1;Seychelles Seychelles;África;66.02
39;40;27;Albania Albania;Europa;65.46
40;41;28;Croacia Croacia;Europa;65.45
41;42;6;Colombia Colombia;América;65.22
42;43;29;Hungría Hungría;Europa;65.01
43;44;30;Bielorrusia Bielorrusia;Europa;64.98
44;45;31;Rumania Rumania;Europa;64.78
45;46;7;República Dominicana República Dominicana;América;64.71
46;47;8;Uruguay Uruguay;América;64.65
47;48;32;Estonia Estonia;Europa;64.31
48;49;6;Singapur Singapur;Asia;64.23
49;50;33;Polonia Polonia;Europa;64.11
